method,num_keys,bits_per_key
optimal,100,5.247649932900597
chia,100,5.3038561897747245
permutation,100,5.713856189774725
bitpacking,100,6.643856189774724
optimal,1000,8.529398004204777
chia,1000,8.625784284662087
permutation,1000,9.035784284662087
bitpacking,1000,9.965784284662087
optimal,10000,11.845814300288172
chia,10000,11.947712379549449
permutation,10000,12.357712379549449
bitpacking,10000,13.287712379549449
optimal,100000,15.167041739242827
chia,100000,15.269640474436812
permutation,100000,15.679640474436813
bitpacking,100000,16.609640474436812
optimal,1000000,18.48888481996832
chia,1000000,18.591568569324174
permutation,1000000,19.001568569324174
bitpacking,1000000,19.931568569324174
optimal,10000000,21.81080291856946
chia,10000000,21.913496664211536
permutation,10000000,22.323496664211536
bitpacking,10000000,23.253496664211536
optimal,100000000,25.13272986434571
chia,100000000,25.235424759098898
permutation,100000000,25.645424759098898
bitpacking,100000000,26.575424759098897
optimal,1000000000,28.454657829372596
chia,1000000000,28.557352853986263
permutation,1000000000,28.967352853986263
bitpacking,1000000000,29.897352853986263
